playerID,name,position,leagueID
855,Cristian Gamboa,Sub,Premier League
663,Alan Hutton,DR,Premier League
670,Carles Gil,Sub,La Liga
739,Ola Toivonen,FW,Ligue 1
1024,Tyrone Mings,DC,Premier League
999,Joseph Dodoo,Sub,Premier League
688,Ruben Loftus-Cheek,Sub,Premier League
689,Kenedy,Sub,La Liga
517,Joe Ledley,MC,Premier League
986,Danny Ings,FW,Premier League
1018,Josh Cullen,Sub,Premier League
620,Kelechi Iheanacho,Sub,Premier League
641,Danny Rose,DL,Premier League
815,Alex Pritchard,AMC,Premier League
897,Juanmi,Sub,La Liga
894,Andre Wisdom,DR,Premier League
964,Kyle Bartley,DC,Premier League
630,Marouane Fellaini,Sub,Premier League
908,Muhamed Besic,Sub,Premier League
597,Ramiro Funes Mori,DC,Premier League
593,Aaron Lennon,Sub,Premier League
857,Phil Bardsley,DR,Premier League
871,Bojan,AMC,Premier League
525,Martin Kelly,DR,Premier League
933,Brede Hangeland,DC,Premier League
447,Kevin De Bruyne,MC,Premier League
807,Jonny Evans,DC,Premier League
833,Virgil van Dijk,DC,Premier League
795,Dieumerci Mbokani,FW,Premier League
798,Martin Olsson,DL,Premier League
463,Junior Stanislas,Sub,Premier League
546,David de Gea,GK,Premier League
553,Anthony Martial,FW,Premier League
484,Divock Origi,Sub,Premier League
931,Jordi Gómez,MC,Premier League
737,Fabio Borini,Sub,Serie A
453,Son Heung-Min,AML,Premier League
775,Andros Townsend,MR,Premier League
541,Victor Moses,MR,Premier League
537,Andy Carroll,Sub,Premier League
690,Loïc Remy,Sub,Premier League
583,Adlène Guédioura,Sub,Premier League
579,Nathan Aké,DC,Premier League
828,Sylvain Distin,DC,Premier League
872,Peter Crouch,Sub,Premier League
720,Modou Barrow,Sub,Premier League
611,Nicolás Otamendi,DC,Premier League
531,Michail Antonio,FW,Premier League
655,James Collins,DC,Premier League
940,Nikica Jelavic,FW,Premier League
960,Clinton N&#039;Jie,Sub,Ligue 1
634,Fraizer Campbell,Sub,Premier League
550,Marcos Rojo,DC,Premier League
559,Paddy McNair,Sub,Premier League
485,Mamadou Sakho,DC,Premier League
483,Daniel Sturridge,Sub,Premier League
624,Willy Caballero,GK,Premier League
615,Fernando,MC,La Liga
925,Patrick Roberts,Sub,La Liga
835,Ryan Bertrand,DL,Premier League
956,Andrej Kramaric,FW,Bundesliga
895,Mathieu Flamini,DMC,Premier League
480,Joe Allen,MC,Premier League
951,Phil Jones,DC,Premier League
983,Kevin Mbabu,DR,Bundesliga
998,Ivan Toney,Sub,Premier League
947,Víctor Ibarbo,FWR,Serie A
509,Wayne Hennessey,GK,Premier League
921,Darron Gibson,Sub,Premier League
962,José Ángel Crespo,DC,La Liga
610,Pablo Zabaleta,DR,Premier League
916,Yoan Gouffran,AML,Premier League
766,Jamaal Lascelles,DC,Premier League
981,Kyle Lafferty,Sub,Premier League
746,Danny Simpson,DR,Premier League
727,DeAndre Yedlin,DR,Premier League
707,Angel Rangel,DR,Premier League
992,James Wilson,Sub,Premier League
954,Kelvin Davis,GK,Premier League
837,Jordy Clasie,MC,Premier League
810,Stéphane Sessegnon,MR,Premier League
684,Abdul Rahman Baba,DL,Bundesliga
558,Jesse Lingard,Sub,Premier League
469,Adam Federici,GK,Premier League
471,Shaun MacDonald,Sub,Premier League
763,Robert Elliot,GK,Premier League
853,Paul Dummett,DL,Premier League
524,Adrian Mariappa,DC,Premier League
787,Ryan Bennett,DC,Premier League
567,Miguel Britos,DC,Premier League
652,Kieran Trippier,DR,Premier League
952,Gastón Ramírez,AMC,Serie A
797,Youssouf Mulumbu,MC,Premier League
886,Ryan Shawcross,DC,Premier League
506,Joel Campbell,Sub,Premier League
500,Alex Iwobi,Sub,Premier League
539,Enner Valencia,Sub,Premier League
891,Leon Osman,Sub,Premier League
928,Wes Brown,DC,Premier League
881,Harry Arter,MC,Premier League
661,Josh Onomah,Sub,Premier League
958,Tokelo Rantie,Sub,Premier League
1037,Cameron Borthwick-Jackson,DL,Premier League
1066,Charles N&#039;Zogbia,FWR,Premier League
922,Andreas Pereira,Sub,Serie A
476,Kolo Touré,DC,Premier League
657,Alexandre Song,DMC,Premier League
905,Marouane Chamakh,Sub,Premier League
949,Giedrius Arlauskis,GK,La Liga
1050,Ryan Allsop,GK,Premier League
1050,Ryan Allsop,Sub,Premier League
823,Vadis Odjidja-Ofoe,Sub,Premier League
799,Declan Rudd,GK,Premier League
547,Guillermo Varela,DR,Premier League
547,Guillermo Varela,DR,Bundesliga
676,Jores Okore,DC,Premier League
695,Bertrand Traoré,AMR,Ligue 1
588,Leighton Baines,DL,Premier League
613,Gaël Clichy,DL,Premier League
973,Paulo Gazzaniga,GK,Premier League
1072,Nick Powell,Sub,Premier League
760,Marcin Wasilewski,DC,Premier League
698,Adam Bogdan,GK,Premier League
726,Vito Mannone,GK,Premier League
780,Karl Darlow,GK,Premier League
721,Jordi Amat,DC,La Liga
1045,Matt Grimes,Sub,Premier League
829,Marvin Emnes,Sub,Premier League
477,Brad Smith,DL,Premier League
910,Harrison Reed,MC,Premier League
666,Aly Cissokho,DL,Premier League
1026,Libor Kozák,FW,Premier League
1060,Jonathan Williams,Sub,Premier League
678,Mark Bunn,GK,Premier League
826,Benik Afobe,Sub,Premier League
827,Juan Iturbe,Sub,Serie A
831,Fraser Forster,GK,Premier League
924,Steven Pienaar,Sub,Premier League
741,Jordan Pickford,GK,Premier League
232,Jan Kirchhoff,DMC,Premier League
778,Henri Saivet,MC,Ligue 1
762,Demarai Gray,Sub,Premier League
898,Obbi Oularé,Sub,Premier League
786,Ivo Pinto,DR,Premier League
650,Kevin Wimmer,DC,Bundesliga
848,Charlie Austin,FW,Premier League
803,Ben Foster,GK,Premier League
575,Nordin Amrabat,FW,La Liga
575,Nordin Amrabat,Sub,La Liga
777,Emmanuel Rivière,FW,Ligue 1
902,Sam Byram,DR,Premier League
937,João Teixeira,Sub,Premier League
162,Timm Klose,DC,Bundesliga
728,Lamine Koné,DC,Ligue 1
731,Dame N&#039;Doye,FW,Premier League
734,Wahbi Khazri,FW,Ligue 1
521,Emmanuel Adebayor,FW,Premier League
817,Sandro,MC,Serie A
817,Sandro,MC,Premier League
